questionário	questionnaire
de	of
capacidades	abilities
e	and
dificuldades	difficulties
relado	parent
pai	father
para	to
adulto	adult
instruções	instruction
responda	answer
a	to
todo	all
o	the
pergunta	question
bom	good
maneira	way
possível	possible
mesmo	same
que	that
você	you
não	no
ter	have
certeza	sure
absoluto	absolutely
ou	or
se	if
perguntar	ask
ele	he
parecer	seem
estranho	strange
dê	press
seu	your
resposta	answer
com	with
base	base
comportamento	behavior
último	last
seis	six
mês	month
ó	o
consideração	considerate
sentimento	feeling
outro	other
pessoa	people
ser	be
inquieto	restless
hiperativo	hyperactive
dificuldade	difficulty
ficar	be
sentar	sit
por	for
muito	very
tempo	time
muitas	many
vez	time
queixa	complain
dor	stomachache
cabeça	head
barriga	nausea
enjoo	nausea
compartilhar	share
exemplo	example
compartilha	willing
comir	food
bebida	drink
frequentemente	often
acesso	tantrum
raiva	anger
prefere	prefers
sozinha	alone
companhia	company
geralmente	usually
aceitar	accept
fazer	do
querer	want
preocupação	concern
preocupado	worried
tudo	everything
atencioso	considerate
alguém	someone
magoar	hurt
aflito	distressed
sentir	feel
mal	bad
estar	be
sempre	always
agitar	agitated
balançar	swinge
perna	leg
mexer	move
mão	hand
menos	less
um	a
amigo	friend
amiga	friend
briga	fight
intimidar	intimidate
triste	sad
desanimar	discourage
choroso	tearful
normalmente	usually
querido	like
facilmente	easily
perder	lose
concentração	concentration
inseguro	insecure
quando	when
algum	any
coisa	thing
primeira	first
confiança	confidence
si	itself
gentil	kind
criança	child
engano	cheat
mente	mind
incomodar	bother
sofrer	be
bullying	bully
oferecer	offer
ajudar	help
membro	member
família	family
colega	colleague
pensar	think
antes	before
rouba	steals
casa	home
escola	school
lugar	place
dar	give
melhor	well
mais	more
velho	old
medo	fear
completo	complete
tarefa	task
começar	start
achar	think
nome	name
jovem	young
emocional	emotional
pouco	little
bem	well
sim	yes
pequeno	small
definido	define
grave	serious
haver	have
quanto	how
este	these
existir	exist
mê	month
ano	year
aborrecer	annoy
nada	nothing
atrapalhar	hinder
situação	situation
abaixo	below
ela	she
próximo	next
ex	ex
parceiroa	partner
amizades	friendship
trabalho	work
estudo	study
atividade	activity
lazer	leisure
passeio	tour
esporte	sport
etc	etc
g	g
peso	weight
data	date
confidencial	confidential
